rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,88.36689,88.53531,52,0.52493197
2,SAI,Ferrari,88.386215,88.601555,53,0.4550143
3,VER,Red Bull,88.51778,89.04637,52,0.8620363
4,RUS,Mercedes,88.56359,89.071434,50,0.77273905
5,LEC,Ferrari,88.57303,88.87534,48,0.6422909
6,PIA,McLaren,89.329704,89.966,51,4.0839133
7,LAW,RB,89.53032,89.84059,45,0.77222526
8,GAS,Alpine,89.54338,89.60075,45,0.25369063
9,HAM,Mercedes,89.72693,88.90253,49,1.0651814
10,ALO,Aston Martin,89.75131,89.36915,49,0.80854166
11,TSU,RB,89.76753,90.047905,47,0.67103326
12,HUL,Haas,89.768265,89.75675,53,0.33315468
13,STR,Aston Martin,89.789764,89.751526,48,0.60545415
14,MAG,Haas,89.847336,89.73922,47,1.028584
15,ALB,Williams,89.86503,89.956055,47,0.3399505
16,BOT,Sauber,89.89491,91.64722,25,4.1519856
17,ZHO,Sauber,90.06325,89.6251,49,0.7999901
18,DOO,Alpine,90.14552,90.19752,48,0.50240326
19,COL,Williams,90.353195,91.74158,21,5.1893835
