rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,VER,Red Bull,70.18233,70.085175,63,0.9151586
2,NOR,McLaren,70.2764,70.23795,58,0.7817672
3,RUS,Mercedes,70.285645,70.401375,64,0.6973329
4,SAI,Ferrari,70.3238,70.45376,64,0.67160463
5,LEC,Ferrari,70.57205,70.52801,60,0.43979904
6,PIA,McLaren,70.608444,70.44174,65,0.8703034
7,HAM,Mercedes,70.64105,70.690544,63,0.62393373
8,HUL,Haas,71.001114,71.07676,62,0.5350133
9,PER,Red Bull,71.03064,71.08823,64,0.60039985
10,GAS,Alpine,71.22188,71.25954,63,0.67630017
11,RIC,RB,71.229126,71.24906,63,0.45937228
12,MAG,Haas,71.26039,71.28974,64,0.51713884
13,OCO,Alpine,71.35446,71.385216,63,0.70630556
14,TSU,RB,71.36273,71.43581,60,0.55277085
15,STR,Aston Martin,71.39654,71.40463,57,0.6304361
16,ALB,Williams,71.41405,71.4206,57,0.5069013
17,ALO,Aston Martin,71.51273,71.516945,60,0.7513781
18,BOT,Sauber,71.60397,71.62336,62,0.48809972
19,ZHO,Sauber,71.647156,71.70632,56,0.6527098
20,SAR,Williams,72.066414,71.78071,53,0.6910355
