rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,PIA,McLaren,107.9932,108.306854,44,0.6336947
2,PER,Red Bull,108.16153,108.298836,44,0.5437907
3,LEC,Ferrari,108.35042,108.27429,43,0.41648045
4,SAI,Ferrari,108.39676,108.35184,46,0.7761988
5,VER,Red Bull,108.4171,108.45911,44,0.7142137
6,RUS,Mercedes,108.63496,108.472984,46,0.8858012
7,HUL,Haas,108.95211,108.939735,45,0.52356046
8,BEA,Haas,109.04455,109.24997,44,1.035951
9,HAM,Mercedes,109.06498,109.12885,45,0.9092001
10,ALB,Williams,109.15025,108.890366,40,0.7607452
11,GAS,Alpine,109.19143,109.51871,47,0.8731091
12,NOR,McLaren,109.19772,108.42021,44,1.4250749
13,ALO,Aston Martin,109.27305,109.06502,46,0.833155
14,COL,Williams,109.294174,109.17385,44,0.72519255
15,RIC,RB,109.54615,110.28059,45,1.6261768
16,BOT,Sauber,109.92678,110.867676,43,2.2297473
17,STR,Aston Martin,110.05643,110.19003,36,0.8830891
18,ZHO,Sauber,110.49907,110.503746,42,1.5660154
19,OCO,Alpine,110.95749,111.053825,46,1.7785189
20,TSU,RB,113.86393,113.51951,10,1.3157885
