rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,VER,Red Bull,95.41556,95.60048,51,1.1441185
2,SAI,Ferrari,96.04222,96.1427,52,1.0367714
3,PER,Red Bull,96.30188,96.013664,50,0.99778104
4,RUS,Mercedes,96.41388,96.436905,50,0.7930148
5,HAM,Mercedes,96.540886,96.49853,51,1.0883905
6,NOR,McLaren,96.630455,96.45313,52,1.0051664
7,PIA,McLaren,96.68172,96.57003,52,1.0252762
8,LEC,Ferrari,96.68382,96.328896,48,1.1163104
9,STR,Aston Martin,96.68936,97.119,50,0.92507815
10,HUL,Haas,96.89303,96.77541,47,0.9037664
11,SAR,Williams,96.960396,97.1686,44,1.2568758
12,ALO,Aston Martin,97.20157,96.903595,48,1.3794605
13,ZHO,Sauber,97.24739,97.34244,49,0.856677
14,BOT,Sauber,97.38521,97.64405,47,0.99084586
15,TSU,RB,97.56604,97.476814,50,0.85751176
16,OCO,Alpine,97.59115,97.75159,48,0.89952624
17,MAG,Haas,97.7289,97.41541,50,1.014965
18,GAS,Alpine,97.76372,97.40246,46,1.3568516
19,RIC,RB,97.774414,97.44192,49,1.2631029
20,ALB,Williams,97.94795,97.536156,49,1.1080617
