rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,107.47983,108.00323,39,1.7535611
2,RUS,Mercedes,107.49953,108.01578,38,1.3107088
3,HAM,Mercedes,107.529655,107.50078,39,0.6871432
4,RIC,RB,107.59163,108.187584,39,1.3150403
5,PER,Red Bull,107.62646,107.96381,34,1.0132693
6,VER,Red Bull,107.64697,107.652275,38,1.2582315
7,LEC,Ferrari,107.67456,107.83821,37,0.9456789
8,PIA,McLaren,107.76895,107.72274,35,1.2893722
9,SAI,Ferrari,107.849396,108.219475,39,1.4536642
10,OCO,Alpine,108.36162,108.52774,36,1.648925
11,TSU,RB,108.41307,109.19524,37,1.5581357
12,GAS,Alpine,108.44988,108.74229,38,1.3403294
13,ALO,Aston Martin,108.489235,108.92866,39,1.107679
14,BOT,Sauber,108.54876,108.945465,38,1.3424155
15,STR,Aston Martin,108.56097,109.2289,41,1.2131859
16,MAG,Haas,108.56324,109.49931,39,1.4542521
17,ALB,Williams,108.61839,108.993515,39,1.3916286
18,HUL,Haas,108.6754,109.3596,37,1.1606874
19,SAR,Williams,108.72305,109.38235,38,1.6265767
20,ZHO,Sauber,114.01185,116.70852,3,5.536593
