rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,RUS,Mercedes,91.57913,93.37963,22,3.9984639
2,HAM,Mercedes,91.60617,93.37279,38,4.8002377
3,NOR,McLaren,91.72579,93.49573,41,4.73911
4,PIA,McLaren,91.74408,92.99576,40,4.882662
5,VER,Red Bull,91.81923,93.57526,40,5.102522
6,SAI,Ferrari,92.29522,94.4883,39,5.345132
7,LEC,Ferrari,92.58052,95.77422,40,6.137324
8,ALO,Aston Martin,92.61105,94.31258,40,5.127002
9,HUL,Haas,92.640785,94.56676,42,5.0512137
10,STR,Aston Martin,92.70094,94.64204,41,5.2913857
11,TSU,RB,92.89526,94.74376,42,4.716707
12,PER,Red Bull,92.89643,96.306564,35,5.814448
13,ALB,Williams,92.90561,94.31384,41,4.8840156
14,SAR,Williams,92.97977,94.713715,41,4.880002
15,MAG,Haas,93.25836,94.63994,44,4.5104795
16,RIC,RB,93.280426,94.91927,34,4.737575
17,BOT,Sauber,93.64352,95.6484,41,4.489788
18,OCO,Alpine,94.26336,96.327,35,4.8867583
19,ZHO,Sauber,95.09626,97.05757,37,5.5819435
