rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,85.61738,84.95492,57,5.965322
2,PIA,McLaren,85.65003,85.099724,55,6.084681
3,HAM,Mercedes,85.72666,84.84557,54,6.1651745
4,VER,Red Bull,86.102356,84.828285,56,5.9203205
5,ALO,Aston Martin,86.20867,85.69435,53,5.8473525
6,RUS,Mercedes,86.26471,84.509125,54,5.361825
7,RIC,RB,86.5534,86.722244,55,6.5461783
8,HUL,Haas,86.62175,86.199875,52,6.2234836
9,TSU,RB,86.781624,86.24589,53,5.3913345
10,STR,Aston Martin,86.83835,86.60186,54,6.431811
11,OCO,Alpine,86.914536,85.95268,52,5.5223956
12,GAS,Alpine,86.93482,86.11471,54,6.2993255
13,BOT,Sauber,87.04522,86.065315,52,5.1923027
14,MAG,Haas,87.20967,86.06439,50,5.7547603
15,SAI,Ferrari,87.61896,88.9481,44,5.6203012
16,ZHO,Sauber,87.66466,87.31987,50,5.6700764
17,ALB,Williams,88.01053,88.73467,44,5.4169493
18,PER,Red Bull,88.028336,88.89352,41,5.1280327
19,LEC,Ferrari,88.63045,91.21917,32,5.2477007
20,SAR,Williams,88.87317,90.31443,19,3.8335686
