rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,VER,Red Bull,99.03113,99.20357,44,0.82458943
2,PER,Red Bull,99.62869,99.70739,40,0.65093184
3,NOR,McLaren,99.69215,99.9992,44,1.0072739
4,LEC,Ferrari,99.89053,100.38556,42,0.9904182
5,ALO,Aston Martin,99.91768,100.11008,41,1.2279911
6,SAI,Ferrari,100.106316,100.62052,42,0.94263995
7,RUS,Mercedes,100.154945,100.41094,40,0.67901105
8,GAS,Alpine,100.45,100.67682,40,0.98564875
9,STR,Aston Martin,100.7053,101.08607,41,3.5402915
10,PIA,McLaren,100.73291,100.86446,42,0.6911422
11,HAM,Mercedes,100.85283,101.01336,42,0.6552808
12,ALB,Williams,100.88439,101.25004,40,0.6213013
13,HUL,Haas,100.88689,101.02122,42,0.56621224
14,OCO,Alpine,100.88792,101.1181,42,0.5369697
15,ZHO,Sauber,100.95245,100.810326,40,1.1401672
16,MAG,Haas,101.20535,102.13063,43,3.6785092
17,BOT,Sauber,101.585106,101.612206,15,0.4426921
18,SAR,Williams,101.61363,101.5422,42,0.49039754
19,TSU,RB,101.75925,102.67573,18,3.808908
20,RIC,RB,101.95842,101.636986,18,0.6858839
