rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,74.8515,75.23628,69,0.7485049
2,SAI,Ferrari,75.12217,75.61426,67,0.87429845
3,VER,Red Bull,75.13393,75.54838,65,0.6228686
4,HAM,Mercedes,75.20521,75.488785,64,1.1866432
5,PIA,McLaren,75.28632,75.60739,69,0.81412923
6,LEC,Ferrari,75.29701,75.58423,67,0.69783705
7,PER,Red Bull,75.33493,75.68369,66,0.773725
8,RUS,Mercedes,75.35362,75.46182,64,0.9162316
9,OCO,Alpine,76.1068,76.61898,57,0.86941874
10,STR,Aston Martin,76.11815,76.4347,63,0.8545506
11,GAS,Alpine,76.13376,76.211044,64,0.7451779
12,RIC,RB,76.13777,76.405716,66,0.8303081
13,ALO,Aston Martin,76.26128,76.33971,65,0.86187345
14,HUL,Haas,76.366,76.4616,66,0.4938716
15,ALB,Williams,76.414085,76.263,57,0.8891258
16,BOT,Sauber,76.800934,76.848145,59,0.5884388
17,SAR,Williams,76.820404,76.88563,62,0.6439903
18,TSU,RB,76.86544,76.723,62,0.5490693
19,MAG,Haas,76.887825,76.79143,62,0.6359145
20,ZHO,Sauber,77.29135,77.25123,60,0.9049635
