rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,LEC,Ferrari,80.8293,81.07274,57,0.46958387
2,NOR,McLaren,80.96239,80.97854,60,0.4351882
3,VER,Red Bull,80.9731,81.01575,59,0.28421095
4,PIA,McLaren,81.00718,81.086006,59,0.45660597
5,SAI,Ferrari,81.19696,81.30665,56,0.41748393
6,HAM,Mercedes,81.210815,81.371765,55,0.4526627
7,RUS,Mercedes,81.326225,81.1914,56,0.6763148
8,ALB,Williams,81.78426,82.067406,39,0.7424577
9,PER,Red Bull,81.930756,81.45504,55,0.84962314
10,RIC,RB,82.14377,82.137535,46,0.17679247
11,TSU,RB,82.18052,82.227646,56,0.37840968
12,HUL,Haas,82.22027,82.27937,53,0.30001828
13,STR,Aston Martin,82.24331,81.92558,55,0.6827203
14,GAS,Alpine,82.26196,82.346085,56,0.50325435
15,ALO,Aston Martin,82.448456,82.16941,46,0.86053693
16,BOT,Sauber,82.582436,82.58523,50,0.4829572
17,MAG,Haas,82.6159,82.34474,55,0.78178346
18,OCO,Alpine,82.74207,82.6723,57,0.52853924
19,ZHO,Sauber,82.803185,82.71045,57,0.5642785
20,SAR,Williams,82.88894,82.7099,57,0.6991657
