rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,LEC,Ferrari,83.174255,83.56267,61,0.82288456
2,RUS,Mercedes,83.214775,83.871605,64,1.5589335
3,PER,Red Bull,83.26136,83.73298,61,1.5192899
4,HAM,Mercedes,83.27255,83.40741,57,0.6899013
5,PIA,McLaren,83.348915,83.35859,64,0.851523
6,NOR,McLaren,83.50705,83.32438,62,0.893191
7,VER,Red Bull,83.635864,83.6031,63,1.0241319
8,SAI,Ferrari,83.71982,83.606224,64,0.9308731
9,ALO,Aston Martin,84.46913,84.49499,62,0.84665215
10,RIC,RB,84.5514,84.60144,56,0.9925197
11,TSU,RB,84.569405,84.73376,67,0.8219406
12,STR,Aston Martin,84.61457,84.40971,62,1.0538257
13,HUL,Haas,84.69814,84.89103,57,1.645227
14,OCO,Alpine,84.83865,84.87874,56,0.90205294
15,SAR,Williams,84.88193,84.80897,54,1.1862665
16,ALB,Williams,84.91628,84.91591,59,0.6440662
17,MAG,Haas,85.14955,85.02678,58,0.78116333
18,ZHO,Sauber,85.18344,85.17887,57,0.78619605
19,BOT,Sauber,85.29934,85.123024,61,0.7923075
20,GAS,Alpine,85.67934,85.55601,28,0.7659166
