rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,83.06144,83.23116,46,1.0245928
2,PIA,McLaren,83.11717,83.2336,46,0.93265593
3,HAM,Mercedes,83.24452,83.53299,43,1.1675407
4,VER,Red Bull,83.25058,83.89394,46,1.2811713
5,RUS,Mercedes,83.34259,83.66265,44,1.2302122
6,LEC,Ferrari,83.37268,83.65997,49,0.6398798
7,SAI,Ferrari,83.62937,83.97727,48,0.8577538
8,PER,Red Bull,83.74565,84.25066,44,1.121594
9,MAG,Haas,84.46707,84.70864,48,0.9299648
10,STR,Aston Martin,84.62155,84.96448,38,1.3006358
11,ALO,Aston Martin,84.645065,84.54008,47,1.095546
12,COL,Williams,84.787674,85.130974,48,0.911855
13,ALB,Williams,84.83547,85.011894,48,0.8102582
14,RIC,RB,84.86162,85.07666,48,0.68014085
15,GAS,Alpine,84.94766,85.02951,44,0.8714153
16,HUL,Haas,85.20514,84.82138,44,1.1273783
17,ZHO,Sauber,85.77259,85.83775,40,0.4572655
18,OCO,Alpine,85.97849,85.60299,46,0.8218165
19,BOT,Sauber,86.222244,85.77903,46,1.0394498
20,TSU,RB,87.631996,87.58998,5,0.9435838
