rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,HAM,Mercedes,97.243256,97.55689,43,1.5925993
2,SAI,Ferrari,97.452805,97.54283,42,1.2743806
3,LEC,Ferrari,97.46687,97.777954,44,1.4713376
4,RUS,Mercedes,97.57997,97.543335,45,1.0204256
5,VER,Red Bull,97.666725,97.822014,45,1.1439109
6,NOR,McLaren,98.156,97.83557,39,1.5350109
7,PIA,McLaren,98.15945,98.38492,45,1.178104
8,PER,Red Bull,98.17467,98.52372,43,1.6691399
9,COL,Williams,98.29437,98.92719,44,1.7001497
10,TSU,RB,98.310394,98.52215,42,0.96875554
11,ALO,Aston Martin,98.371185,99.14559,42,3.2016163
12,STR,Aston Martin,98.421295,98.5527,41,1.31524
13,HUL,Haas,98.55746,98.68045,45,1.3777527
14,MAG,Haas,98.85316,99.19958,46,1.7659916
15,ALB,Williams,98.99129,99.312805,19,0.9164041
16,ZHO,Sauber,99.255615,98.913734,45,1.4622532
17,LAW,RB,99.36394,99.13807,42,1.2411708
18,OCO,Alpine,99.37472,99.24907,43,1.0421219
19,GAS,Alpine,99.54476,99.68318,9,0.87975013
20,BOT,Sauber,99.55289,99.48647,43,1.8193222
