rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,80.48082,80.85858,62,1.0385879
2,LEC,Ferrari,80.685646,81.00273,59,0.87720096
3,SAI,Ferrari,80.71169,80.8568,63,0.7242668
4,HAM,Mercedes,81.133316,81.50136,61,0.9811771
5,VER,Red Bull,81.39672,81.49242,55,0.44337407
6,RUS,Mercedes,81.44855,81.69305,62,0.6826561
7,MAG,Haas,81.590744,81.84333,62,1.0759991
8,HUL,Haas,81.827515,82.20132,60,0.8355805
9,PER,Red Bull,82.360344,82.30618,53,0.9532696
10,GAS,Alpine,82.38466,82.45387,60,0.77387583
11,PIA,McLaren,82.44028,81.755165,60,1.5056086
12,STR,Aston Martin,82.52601,82.51378,61,0.84900576
13,COL,Williams,82.936485,82.438065,59,1.1424154
14,LAW,RB,82.96358,82.450325,54,1.0282942
15,OCO,Alpine,83.212,82.707306,59,1.0226475
16,BOT,Sauber,83.24812,82.87192,59,0.96395946
17,ZHO,Sauber,83.38817,82.9752,55,0.8939857
18,ALO,Aston Martin,83.4975,83.77588,8,0.94173276
