rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,78.24746,78.326065,73,1.350733
2,SAI,Ferrari,78.27394,78.36467,74,1.4524479
3,HAM,Mercedes,78.44836,78.00121,69,2.0178099
4,LEC,Ferrari,78.49611,78.37275,74,1.5260098
5,VER,Red Bull,78.52754,78.10843,68,2.0293934
6,PIA,McLaren,78.55237,78.43777,75,1.385252
7,RUS,Mercedes,78.622025,78.51982,75,1.8952101
8,STR,Aston Martin,79.76424,79.84367,68,1.5811752
9,GAS,Alpine,80.268684,80.11259,72,1.3023151
10,ALB,Williams,80.305305,80.0734,73,1.3813235
11,TSU,RB,80.39069,79.7936,69,1.5484749
12,BOT,Sauber,80.53625,80.1672,71,1.6405169
13,RIC,RB,80.92081,80.39853,72,1.3987501
14,ALO,Aston Martin,80.92173,80.498535,73,1.3305271
15,ZHO,Sauber,81.02577,80.61275,66,1.3032655
16,SAR,Williams,81.09895,80.08698,62,2.153723
