rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,VER,Red Bull,84.70716,84.74691,44,1.0408002
2,PIA,McLaren,84.78289,84.94526,43,1.1814616
3,LEC,Ferrari,84.81754,84.88398,43,1.1772346
4,NOR,McLaren,84.898926,88.144844,43,9.579061
5,SAI,Ferrari,85.04567,85.140915,42,1.0742114
6,RUS,Mercedes,85.439354,85.13163,41,1.1168631
7,HAM,Mercedes,85.85192,86.0629,41,1.5242537
8,PER,Red Bull,85.93409,86.106064,29,0.78798985
9,GAS,Alpine,86.073944,85.80821,42,1.4540484
10,ZHO,Sauber,86.128075,86.28026,44,1.5179573
11,MAG,Haas,86.284294,86.15551,41,1.1972677
12,ALO,Aston Martin,86.38808,85.98838,43,1.4538312
13,BOT,Sauber,86.983444,87.085884,41,0.9135588
14,ALB,Williams,87.24301,87.22251,40,0.7627138
15,HUL,Haas,87.259605,88.83008,27,7.2688274
16,LAW,RB,87.26189,88.1659,45,5.868486
17,TSU,RB,87.391815,88.32063,46,6.248291
18,STR,Aston Martin,105.317764,110.93099,3,15.617782
