rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,VER,Red Bull,92.73076,92.87356,45,0.5482102
2,PER,Red Bull,92.76474,93.00964,43,0.59410495
3,LEC,Ferrari,93.20032,93.29554,45,0.79424614
4,PIA,McLaren,93.5782,93.555336,45,0.7493414
5,BEA,Ferrari,93.63946,93.880615,44,1.1455315
6,ALO,Aston Martin,93.67764,93.63218,44,0.85696036
7,NOR,McLaren,93.69273,93.49647,41,0.8884844
8,HAM,Mercedes,93.71743,93.59468,42,1.2896037
9,RUS,Mercedes,93.72661,93.73668,45,1.0023861
10,HUL,Haas,94.61126,94.23871,42,1.2800323
11,ZHO,Sauber,94.939896,94.78343,40,1.1157545
12,ALB,Williams,95.25381,94.83839,44,1.3422153
13,OCO,Alpine,95.32455,95.25698,44,1.1892449
14,MAG,Haas,95.40637,94.85799,44,1.4038676
15,SAR,Williams,95.45801,95.31503,44,1.1651286
16,TSU,RB,95.48607,95.25464,44,1.0798912
17,BOT,Sauber,95.53136,95.07701,40,1.4607337
18,RIC,RB,95.60127,95.32341,43,1.1449084
19,STR,Aston Martin,95.80053,95.84204,4,0.1667437
