rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,96.87277,96.94505,55,0.6678977
2,VER,Red Bull,97.143234,97.37836,58,0.747911
3,RUS,Mercedes,97.867935,97.90936,54,0.503618
4,PIA,McLaren,98.109604,97.65927,57,0.89466476
5,HAM,Mercedes,98.312546,98.32135,54,0.45704475
6,SAI,Ferrari,98.41537,98.451675,55,0.58611715
7,PER,Red Bull,98.44677,98.64899,55,0.68586177
8,HUL,Haas,98.48317,98.54763,56,0.55594164
9,ALO,Aston Martin,98.49676,98.55312,55,0.4499225
10,LEC,Ferrari,98.59632,97.96927,58,1.2662498
11,COL,Williams,98.75744,98.47341,49,0.68853974
12,RIC,RB,98.794106,98.6447,47,1.1599576
13,OCO,Alpine,98.9492,99.053604,51,0.66345894
14,STR,Aston Martin,98.994,99.11877,52,0.78342664
15,TSU,RB,99.071594,98.63753,55,1.1460781
16,MAG,Haas,99.248055,98.96755,47,1.2088133
17,ALB,Williams,99.35982,99.08559,10,0.90019023
18,GAS,Alpine,99.36867,99.15848,54,1.2062595
19,BOT,Sauber,99.6639,99.283745,52,0.98641855
20,ZHO,Sauber,99.67429,99.35096,55,1.0185915
