rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,NOR,McLaren,79.546234,79.49736,59,1.2626588
2,PER,Red Bull,79.56453,79.97439,58,1.1857038
3,LEC,Ferrari,79.69182,79.82512,61,1.171269
4,RUS,Mercedes,79.70606,79.726135,59,0.90405625
5,VER,Red Bull,79.84073,79.512794,58,1.075998
6,PIA,McLaren,79.84278,79.90107,54,1.3346357
7,HAM,Mercedes,79.843216,79.74336,59,1.0302879
8,SAI,Ferrari,79.93314,79.86341,57,0.832072
9,GAS,Alpine,80.25149,80.29691,59,0.8150095
10,OCO,Alpine,80.70059,80.46759,58,0.9235971
11,TSU,RB,80.795395,81.03636,51,1.1505817
12,HUL,Haas,80.98506,80.49188,59,1.0083958
13,ALO,Aston Martin,81.0107,80.85351,58,1.2934542
14,STR,Aston Martin,81.095245,80.92225,55,0.9287066
15,RIC,RB,81.147285,81.20188,56,0.98258775
16,ZHO,Sauber,81.16417,80.78848,57,1.1437455
17,BOT,Sauber,81.21942,81.283554,52,0.71198857
18,MAG,Haas,81.26101,81.36174,58,0.76165664
19,ALB,Williams,81.33877,81.29872,54,1.1899066
20,SAR,Williams,82.07044,82.021255,57,0.9783367
