rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,VER,Red Bull,83.96212,83.40168,52,1.589517
2,RUS,Mercedes,83.965515,84.33322,51,5.285663
3,GAS,Alpine,84.195694,84.09529,53,1.6762292
4,NOR,McLaren,84.204544,84.631355,54,5.1536207
5,ALO,Aston Martin,84.32005,85.38502,48,5.4073334
6,OCO,Alpine,84.39104,83.94354,54,1.4698433
7,LEC,Ferrari,84.50514,85.24139,55,4.6263585
8,TSU,RB,84.68126,84.948235,53,4.661517
9,BEA,Haas,84.76906,85.90885,52,6.74401
10,PIA,McLaren,84.793304,84.99649,53,4.427687
11,LAW,RB,84.81915,85.25905,52,4.7243557
12,HUL,Haas,84.87854,84.914825,20,0.49646124
13,HAM,Mercedes,85.02284,85.71268,54,4.9582205
14,BOT,Sauber,85.033585,85.25401,52,1.9512063
15,PER,Red Bull,85.28688,85.96038,55,5.944474
16,COL,Williams,85.74978,87.494995,24,5.3675303
17,ZHO,Sauber,85.8312,86.001396,51,1.899333
18,SAI,Ferrari,85.948044,88.33129,30,7.5830345
