rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,LEC,Ferrari,98.70682,98.74851,49,0.5984689
2,SAI,Ferrari,98.767334,98.86822,48,0.79653066
3,VER,Red Bull,98.81129,99.111305,49,0.72044414
4,NOR,McLaren,99.03639,99.041306,49,0.99192685
5,HUL,Haas,99.26367,99.94338,47,1.3614742
6,PIA,McLaren,99.42419,99.24578,47,1.1884152
7,PER,Red Bull,99.63746,99.94584,49,1.2130597
8,RUS,Mercedes,99.77437,99.67895,46,1.4523673
9,MAG,Haas,100.20639,100.0324,47,1.2440628
10,ALO,Aston Martin,100.33097,100.6427,45,0.996875
11,LAW,RB,100.361725,100.1926,50,1.4528716
12,GAS,Alpine,100.38109,100.349014,50,0.9779318
13,COL,Williams,100.382065,100.24673,50,1.6389453
14,STR,Aston Martin,100.574036,100.96015,46,1.125534
15,TSU,RB,100.740036,100.588264,48,0.9670165
16,BOT,Sauber,101.0378,101.22575,44,0.6927618
17,ZHO,Sauber,101.344604,100.90548,42,1.0502174
18,OCO,Alpine,101.492584,100.88364,44,1.208653
19,ALB,Williams,101.63306,101.44388,46,2.6520543
20,HAM,Mercedes,109.17367,109.17367,1,
