rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,ANT,Mercedes,82.977036,83.09864,45,0.42821586
2,RUS,Mercedes,83.026245,83.39806,50,0.76261616
3,LEC,Ferrari,83.115166,83.48337,46,0.8166133
4,HAM,Ferrari,83.21869,83.41249,47,0.77711034
5,NOR,McLaren,83.483086,83.78378,47,0.998815
6,VER,Red Bull,83.52562,83.839386,47,1.1741236
7,BOR,Audi,84.64746,84.84976,47,0.8966191
8,BEA,Haas,84.70148,84.91712,46,0.6633465
9,LIN,Racing Bulls,84.84027,85.029854,44,0.54251635
10,LAW,Racing Bulls,85.14287,85.266655,44,1.0794301
11,ALB,Williams,85.27673,85.56662,44,0.90451044
12,GAS,Alpine,85.29239,85.45907,48,0.54664195
13,HAD,Red Bull,85.37956,85.38275,7,0.101340555
14,OCO,Haas,85.41789,85.535614,49,0.6024117
15,SAI,Williams,85.71158,85.86541,44,1.2724578
16,COL,Alpine,85.90906,85.819305,44,1.1570327
17,ALO,Aston Martin,87.118,87.22461,15,0.9987198
18,STR,Aston Martin,87.42472,87.20556,29,1.020352
19,PER,Cadillac,87.56752,87.60416,41,0.90502036
20,BOT,Cadillac,87.668236,88.40357,9,1.6192213
