rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,PIA,McLaren,70.42808032423233,70.42808032423233,74.51921493487903
2,BOR,Audi,71.02503046620689,71.02503046620689,74.63469473570595
3,RUS,Mercedes,71.028797966933,71.028797966933,74.65318652793533
4,NOR,McLaren,71.0297726571033,71.0297726571033,74.65318652793533
5,LEC,Ferrari,71.05109868291622,71.05109868291622,74.65318652793533
6,ALB,Williams,71.05427147858259,71.05427147858259,74.65318652793533
7,ANT,Mercedes,71.05678295836661,71.05678295836661,74.65318652793533
8,VER,Red Bull,71.34047376866988,71.34047376866988,74.65318652793533
9,HAM,Ferrari,71.59374845766311,71.59374845766311,74.65318652793533
10,GAS,Alpine,71.61730480931085,71.61730480931085,74.65318652793533
11,OCO,Haas,72.16830472599167,72.16830472599167,74.64895744443953
12,LIN,Racing Bulls,72.37181921148186,72.37181921148186,74.64895744443953
13,LAW,Racing Bulls,72.66352467608753,72.68350201400418,74.65318652793533
14,COL,Alpine,72.57120004923678,72.87303932530824,74.64895744443953
15,SAI,Williams,72.79739089833566,73.1787045825308,74.64895744443953
16,PER,Cadillac,72.97754283069047,73.31338585432366,74.64895744443953
17,HAD,Red Bull,73.08799139935233,73.68569765298422,74.65814155354583
18,BEA,Haas,73.09451409118732,73.76170623930811,74.64895744443953
19,STR,Aston Martin,73.10567893573885,73.79226938751385,74.64895744443953
20,HUL,Audi,73.06259209693977,73.8103612419066,74.64988115415359
21,ALO,Aston Martin,73.35680651981913,74.30023919024919,74.67160707037685
22,BOT,Cadillac,74.79993656846162,75.56041498731797,75.56041498731797
