rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,NOR,McLaren,72.78979311230873,73.37148603251636,74.74730449224356
2,ALB,Williams,73.1582175028494,74.29205147333707,74.75946928830672
3,BOR,Audi,73.12633735931246,74.38378195826095,74.78483697548702
4,PIA,McLaren,78.54872912307307,79.75117151287088,79.8892060612307
5,ANT,Mercedes,79.05307575259573,79.855999519355,79.855999519355
6,LEC,Ferrari,79.0745632209272,80.18436433496154,80.18436433496154
7,RUS,Mercedes,79.2107017685004,80.20199945250127,80.20199945250127
8,VER,Red Bull,79.9530182734288,80.42513380559998,80.42513380559998
9,HAM,Ferrari,79.72063872413311,80.65775127956215,80.65775127956215
10,GAS,Alpine,80.12933501513028,80.71631208643076,80.71631208643076
11,OCO,Haas,80.87348904438973,81.34623706253655,81.34623706253655
12,LIN,Racing Bulls,81.20316389999623,81.63024051394831,81.63024051394831
13,LAW,Racing Bulls,81.31648192830838,81.91401875239505,81.91401875239505
14,COL,Alpine,81.48137336227967,81.92314428802686,81.92314428802686
15,SAI,Williams,81.95239681262146,82.48721889953762,82.48721889953762
16,PER,Cadillac,81.91820764604098,82.7999097704432,82.7999097704432
17,BEA,Haas,82.21396290145692,83.03329975007644,83.03329975007644
18,HAD,Red Bull,82.69849152334908,83.33837845917775,83.33837845917775
19,HUL,Audi,82.27155846974092,83.6536029423401,83.6536029423401
20,STR,Aston Martin,82.58094333235806,83.70418546350916,83.70418546350916
21,ALO,Aston Martin,79.90970951418159,84.08293107363829,84.54425211354554
22,BOT,Cadillac,84.40019732911558,85.57809419840021,85.57809419840021
