rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,NOR,McLaren,100.45884995528337,101.50217149455587,102.15714647186421
2,BOR,Audi,101.31010527669591,102.78397630961847,103.8917276414097
3,ALB,Williams,101.20813976107763,103.14473493478435,103.55141652332712
4,RUS,Mercedes,102.34296475080764,108.96379884486511,109.48959824992917
5,ANT,Mercedes,102.33697061475632,108.97548192347762,109.434698382904
6,LEC,Ferrari,102.18815019106837,108.97967402089171,109.45671002097322
7,VER,Red Bull,102.37083290549596,109.00596349473258,109.32220409163162
8,HAM,Ferrari,102.18815019106837,109.01367807216151,109.36951825792627
9,GAS,Alpine,102.32895513374915,109.33649453311264,110.27885058250673
10,OCO,Haas,102.36839819378507,110.32421284922607,110.87028942157026
11,LIN,Racing Bulls,102.34296475080764,110.34926730116597,110.82663488701732
12,COL,Alpine,102.39106093143143,110.54569398826128,110.86126971612246
13,SAI,Williams,102.34296475080764,110.69948332467696,110.82195538976984
14,PIA,McLaren,103.01744282063675,110.72778453127349,111.42557757844756
15,LAW,Racing Bulls,102.18815019106837,110.78324392703988,110.81506299452226
16,BEA,Haas,102.1860850005326,110.87029648816288,111.83852873500007
17,STR,Aston Martin,102.19611880051785,111.1089554381168,113.61421388044788
18,PER,Cadillac,102.19611880051785,111.2847560573771,113.38324549682235
19,HAD,Red Bull,102.18815019106837,111.44170196627262,111.86743593427643
20,HUL,Audi,102.23283860038215,111.5211169333348,111.8487714462398
21,ALO,Aston Martin,103.15298964917326,112.84254818385902,116.11112366601223
22,BOT,Cadillac,102.08614893221511,113.78526357599993,114.60571394414691
