rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,NOR,McLaren,83.78220949464594,84.32771103526635,84.32771103526635
2,BOR,Audi,84.82627951930004,85.54642134303917,85.68881428766026
3,ALB,Williams,84.71787987309244,85.93635308532124,85.93635308532124
4,RUS,Mercedes,91.48003637828293,92.06735160849101,92.06735160849101
5,ANT,Mercedes,91.24875268817456,92.10787046315242,92.10787046315242
6,LEC,Ferrari,91.44072750826562,92.12733363564152,92.12733363564152
7,VER,Red Bull,92.0737608487781,92.46056624355995,92.46056624355995
8,PIA,McLaren,90.90271122184129,92.55092041304276,92.55092041304276
9,HAM,Ferrari,92.11104177527336,92.69102099409922,92.69102099409922
10,GAS,Alpine,92.38021024362834,92.78905233072172,92.78905233072172
11,OCO,Haas,92.98259346560364,93.34901200162618,93.56750073259747
12,LIN,Racing Bulls,93.02753603485765,93.6235021202114,93.6235021202114
13,COL,Alpine,93.54083850449636,94.16434122245192,94.26574418276641
14,LAW,Racing Bulls,93.54494682555737,94.17060698021952,94.17060698021952
15,SAI,Williams,94.07891253776617,94.62501574812805,94.62501574812805
16,BEA,Haas,94.42893252588982,94.85517955175534,94.85517955175534
17,PER,Cadillac,94.50394663321221,94.96615147744993,94.96615147744993
18,STR,Aston Martin,95.17551948971631,95.566348879707,95.7818020975563
19,HUL,Audi,95.04317405541956,95.91382196897885,95.91382196897885
20,HAD,Red Bull,95.07236755922412,96.02880634744119,96.02880634744119
21,ALO,Aston Martin,95.99595192546664,96.79381688429561,96.79381688429561
22,BOT,Cadillac,97.07091668886606,97.9360502594144,97.9360502594144
