rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,ANT,Mercedes,78.89823863244978,79.63016369481325,79.63016369481325
2,RUS,Mercedes,79.48054336576335,80.02008800542292,80.3894854144947
3,LEC,Ferrari,79.49410863745588,80.03734918381569,80.38648099646667
4,NOR,McLaren,78.68965902167415,80.14708776028324,80.14708776028324
5,HAM,Ferrari,80.02054289376188,80.37735840225575,81.10378554737541
6,PIA,McLaren,78.60781133299598,81.10002548722015,81.10002548722015
7,GAS,Alpine,80.61409537199589,81.143482873444,81.6416670919866
8,VER,Red Bull,80.23655613917234,81.19960573485376,81.44795785281983
9,COL,Alpine,80.60343685517792,81.2013864266612,81.75042801122979
10,BEA,Haas,80.70488772081262,81.55008937985521,82.13453877096737
11,LAW,Racing Bulls,80.75893599812284,81.59064027524803,82.08700745866777
12,LIN,Racing Bulls,80.94625052986378,81.62962895375051,82.13104343660906
13,OCO,Haas,80.80543505529964,81.63793198389678,82.12629869971373
14,SAI,Williams,80.83608753813185,81.64958262839806,82.15959193884083
15,ALB,Williams,80.53795171066949,82.19750551875666,82.19750551875666
16,BOR,Audi,80.45837167116645,82.37147456375976,82.37147456375976
17,HAD,Red Bull,82.90585777845402,83.2110602335668,83.49820437931125
18,STR,Aston Martin,81.94407979703774,83.38781058896731,83.38781058896731
19,PER,Cadillac,83.01678706440282,84.20674739054022,84.20674739054022
20,HUL,Audi,83.4590688269621,84.4749787961596,84.4749787961596
21,ALO,Aston Martin,83.55570137615422,84.51861452611618,84.51861452611618
22,BOT,Cadillac,85.15223216895484,86.27412824708925,86.27412824708925
