rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,BOR,Audi,71.14252771227717,71.14252771227717,74.74244996384891
2,NOR,McLaren,71.15383331287893,71.15383331287893,74.74730449224356
3,ALB,Williams,71.1716327307114,71.1716327307114,74.74730449224356
4,PIA,McLaren,75.0311958508171,75.37741351465843,75.704850226093
5,ANT,Mercedes,74.89543525542396,75.53263673024526,75.53263673024526
6,RUS,Mercedes,75.04147381924739,75.60623553823385,75.60623553823385
7,LEC,Ferrari,74.77265357048991,75.61290822140234,75.61290822140234
8,VER,Red Bull,75.40582520809093,75.92720871022291,75.92720871022291
9,GAS,Alpine,75.60463465105443,76.1166096383921,76.1166096383921
10,HAM,Ferrari,75.2433078232114,76.14215406880912,76.14215406880912
11,OCO,Haas,76.07677494108673,76.64153430158798,76.64153430158798
12,LIN,Racing Bulls,76.40222195802372,77.02464435888136,77.02464435888136
13,COL,Alpine,76.7709264439771,77.36303094142112,77.36303094142112
14,LAW,Racing Bulls,76.60289393431769,77.4575027463397,77.4575027463397
15,SAI,Williams,77.07369486805962,77.74143804898371,77.74143804898371
16,BEA,Haas,77.4207896074294,78.2045869016615,78.2045869016615
17,PER,Cadillac,77.47308443558508,78.38272126524589,78.38272126524589
18,HAD,Red Bull,78.10156649640523,78.69343319828862,78.71457259122873
19,STR,Aston Martin,78.09049646736538,78.70542439445123,78.74257658762487
20,HUL,Audi,77.91016129523435,79.16423890497454,79.1982717986068
21,ALO,Aston Martin,78.0945521379631,79.50094284668712,79.95418085945566
22,BOT,Cadillac,80.2065482493633,81.25472274977223,81.25472274977223
