rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,NOR,McLaren,74.33447797786118,75.5684457118402,75.5684457118402
2,BOR,Audi,75.77709238264731,76.75010265155787,76.75010265155787
3,ALB,Williams,76.0476926672852,77.01419536246947,77.01419536246947
4,ANT,Mercedes,82.36025665706578,82.54035918206924,82.54035918206924
5,RUS,Mercedes,82.52753463703283,82.83803657722237,82.83803657722237
6,LEC,Ferrari,82.31687346891133,82.86338890070314,82.86338890070314
7,VER,Red Bull,82.77427654167414,83.12336978470395,83.12336978470395
8,PIA,McLaren,79.68836691880207,83.15195031866122,83.15427682313467
9,HAM,Ferrari,82.71557316963361,83.18257774196309,83.18257774196309
10,GAS,Alpine,82.87815934918567,83.46031296842729,83.46031296842729
11,LIN,Racing Bulls,83.6520004418452,84.05348572441802,84.05348572441802
12,OCO,Haas,83.37398283742945,84.3899008941119,84.3899008941119
13,LAW,Racing Bulls,83.84056107846709,84.40285227249201,84.4236269593094
14,COL,Alpine,84.1233759234801,84.71138922335737,84.71138922335737
15,SAI,Williams,84.55833602986742,85.05159271267182,85.12100728714692
16,PER,Cadillac,84.47666204579734,85.61977368875968,85.61977368875968
17,HAD,Red Bull,85.30421370677995,85.8005285017314,85.94068795345508
18,BEA,Haas,84.87164346994246,85.86247831462865,85.86247831462865
19,HUL,Audi,85.4258992831595,86.24770752786083,86.32459662329912
20,STR,Aston Martin,85.43666653086596,86.43512258844972,86.43512258844972
21,ALO,Aston Martin,80.39856000287779,86.77625147443982,87.03324520754562
22,BOT,Cadillac,87.06378492989803,88.4956600642787,88.4956600642787
