rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,NOR,McLaren,76.0297580559682,77.23896636983267,77.23896636983267
2,BOR,Audi,77.34538678942178,78.62208657088604,78.62208657088604
3,ALB,Williams,77.50962442490255,78.94119318130295,78.94119318130295
4,ANT,Mercedes,83.58731801581405,84.26253955931855,84.26253955931855
5,PIA,McLaren,80.00364531327055,84.43029475012585,84.43029475012585
6,RUS,Mercedes,83.67806278151899,84.53511564268898,84.53511564268898
7,LEC,Ferrari,83.34316040263732,84.54197757868029,84.54197757868029
8,VER,Red Bull,84.06076240615899,84.60389989264563,84.60389989264563
9,HAM,Ferrari,83.97554971539056,84.66226394414811,84.66226394414811
10,GAS,Alpine,84.31323594149042,84.67405331364284,84.79319632820231
11,OCO,Haas,84.75876154707483,85.47193880987875,85.53342273712498
12,LIN,Racing Bulls,85.42256472071757,85.74375031769438,85.91829368881714
13,COL,Alpine,85.7658474016034,86.0472858951325,86.19007838840643
14,LAW,Racing Bulls,85.31318815386834,86.11049711865954,86.11049711865954
15,SAI,Williams,86.12327541917857,86.65059293454347,86.65059293454347
16,BEA,Haas,86.27843903473817,87.24695250491769,87.27307128101738
17,HUL,Audi,86.6823322215604,87.36086954179514,87.72225153056837
18,PER,Cadillac,86.03950039302221,87.57056518996384,87.57056518996384
19,HAD,Red Bull,86.95676799816671,87.81065098691077,87.81065098691077
20,STR,Aston Martin,87.07839974639971,88.07576623846165,88.07576623846165
21,ALO,Aston Martin,81.58746932143507,88.58066424135356,88.97488102702036
22,BOT,Cadillac,88.63833265895333,89.77937740833048,89.88983455545767
