rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,ANT,Mercedes,93.22586,93.87639,44,1.0827829
2,PIA,McLaren,93.607834,94.17794,42,1.0672493
3,LEC,Ferrari,93.730995,94.08416,41,0.84386814
4,RUS,Mercedes,93.7316,94.06433,42,0.7638042
5,NOR,McLaren,94.03079,94.22044,40,0.71764517
6,HAM,Ferrari,94.101,94.46102,42,0.82922536
7,VER,Red Bull,94.18387,94.722305,40,0.8817711
8,GAS,Alpine,94.24115,94.80859,44,0.8918435
9,LAW,Racing Bulls,94.87099,95.71896,45,1.361646
10,OCO,Haas,94.87227,95.36934,41,0.879464
11,LIN,Racing Bulls,95.199135,95.53818,38,0.84758234
12,SAI,Williams,95.41046,96.0172,42,1.0536871
13,BOR,Audi,95.46063,95.6968,43,0.92450583
14,HAD,Red Bull,95.496,95.57333,41,0.9652023
15,HUL,Audi,95.554535,95.56876,45,1.1761143
16,COL,Alpine,95.58543,95.80416,41,0.85325533
17,PER,Cadillac,96.28928,96.94468,41,0.93952435
18,ALB,Williams,96.70644,96.31696,37,0.9671321
19,BEA,Haas,96.732,96.7204,17,0.38996968
20,BOT,Cadillac,97.224236,97.77878,38,0.9712555
21,ALO,Aston Martin,97.87667,97.86257,42,0.6933013
22,STR,Aston Martin,98.51915,100.335335,22,7.7847786
