rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s,actual_median_s,residual_s,abs_error_s,in_range
2,BOR,Audi,85.33981439227641,87.0500997512318,87.1948698191133,95.012,7.9619002487682025,7.9619002487682025,False
3,ALB,Williams,85.96904129563355,87.5593126009901,87.74192871751809,94.44,6.880687399009901,6.880687399009901,False
1,NOR,McLaren,84.80714346057647,85.89680544999167,86.00170747752041,92.75399999999999,6.857194550008316,6.857194550008316,False
19,HUL,Audi,96.44447858360842,97.33643485915071,97.33643485915071,102.2085,4.872065140849287,4.872065140849287,False
20,HAD,Red Bull,96.86545968003036,97.81865768655292,97.81865768655292,95.188,-2.6306576865529223,2.6306576865529223,False
21,ALO,Aston Martin,98.00496320850978,98.74727130147532,98.74727130147532,96.4505,-2.2967713014753173,2.2967713014753173,False
22,BOT,Cadillac,98.79967577524496,99.6513093838245,99.6513093838245,97.707,-1.9443093838245034,1.9443093838245034,False
15,SAI,Williams,95.7692328827808,96.05585291786124,96.16103852280176,94.341,-1.7148529178612506,1.7148529178612506,False
17,BEA,Haas,96.22868171826173,96.44644115592575,96.72373869889051,94.8775,-1.5689411559257564,1.5689411559257564,False
14,LAW,Racing Bulls,95.24073201622654,95.57354944526986,95.8516721958523,97.079,1.5054505547301318,1.5054505547301318,False
13,COL,Alpine,95.41875746176748,95.5608991537054,95.943739670468,94.113,-1.4478991537054071,1.4478991537054071,False
18,STR,Aston Martin,96.83221481750154,97.2239135434264,97.51323438081252,95.97999999999999,-1.243913543426416,1.243913543426416,False
8,PIA,McLaren,93.57175791852792,94.3718691132128,94.3718691132128,93.477,-0.894869113212792,0.894869113212792,False
10,GAS,Alpine,93.94214595245148,94.46964060159772,94.46964060159772,95.311,0.8413593984022896,0.8413593984022896,False
4,ANT,Mercedes,93.05308749301794,93.61541640712936,93.61541640712936,92.78049999999999,-0.83491640712937,0.83491640712937,False
5,LEC,Ferrari,93.4489199378394,93.86522894372688,93.86522894372688,93.05850000000001,-0.806728943726867,0.806728943726867,False
9,HAM,Ferrari,93.84824981436492,94.40886496501464,94.40886496501464,93.789,-0.6198649650146422,0.6198649650146422,False
7,VER,Red Bull,93.73922874481232,94.18896752340864,94.31595804256528,93.67,-0.5189675234086337,0.5189675234086337,False
6,RUS,Mercedes,93.36375175308818,93.91100347702134,93.91100347702134,93.574,-0.3370034770213408,0.3370034770213408,True
12,LIN,Racing Bulls,94.9844216657178,95.4043021737269,95.51086532541282,95.702,0.2976978262730938,0.2976978262730938,False
11,OCO,Haas,94.61139822733526,94.8705513053056,95.1796650973155,95.0935,0.22294869469440926,0.22294869469440926,True
16,PER,Cadillac,96.098735662877,96.41953509654392,96.62734487540004,96.509,0.08946490345607572,0.08946490345607572,True
