rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,ANT,Mercedes,92.58179,92.796074,44,0.43960252
2,NOR,McLaren,92.77217,92.76202,44,0.34760743
3,LEC,Ferrari,93.11801,93.240204,43,0.40571448
4,PIA,McLaren,93.195694,93.25625,45,0.6832867
5,RUS,Mercedes,93.549835,93.61504,46,0.44987956
6,VER,Red Bull,93.740425,93.7992,46,0.28439832
7,HAM,Ferrari,93.745285,93.75965,44,0.47730967
8,COL,Alpine,93.93742,93.981964,47,0.41531178
9,SAI,Williams,94.280205,94.38404,45,0.5052805
10,ALB,Williams,94.4102,94.582825,48,0.41087696
11,BEA,Haas,94.52817,94.572556,41,0.31102276
12,OCO,Haas,94.67628,94.74058,43,0.37091956
13,BOR,Audi,94.70982,94.91252,46,0.9136779
14,LIN,Racing Bulls,94.89995,95.29905,42,0.8062513
15,GAS,Alpine,95.11131,95.19815,3,0.2491935
16,HUL,Audi,95.17652,96.340546,3,2.447999
17,HAD,Red Bull,95.21445,95.54536,3,0.69954044
18,STR,Aston Martin,95.313705,95.59824,39,0.74815893
19,ALO,Aston Martin,96.36681,96.11012,43,0.673257
20,PER,Cadillac,96.49288,96.32816,47,0.68607277
21,LAW,Racing Bulls,97.10254,98.37615,4,3.6802347
22,BOT,Cadillac,97.500175,97.48314,39,0.95582265
