rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,NOR,McLaren,71.57077160090338,71.97560696412089,74.7977361577122
2,BOR,Audi,72.29169631730147,73.20936251935545,74.81844333892946
3,ALB,Williams,72.5833362047749,73.44024150972042,74.7977361577122
4,ANT,Mercedes,77.13932831915184,78.59553926845518,78.59553926845518
5,PIA,McLaren,76.74368748749292,78.63533710509071,78.63533710509071
6,RUS,Mercedes,77.42271114775704,78.69692786406439,78.69692786406439
7,LEC,Ferrari,77.20167296071402,78.73835502555177,78.73835502555177
8,HAM,Ferrari,77.48789180160595,79.19919066233395,79.19919066233395
9,GAS,Alpine,77.6515366633372,79.21745372218976,79.21745372218976
10,VER,Red Bull,77.5814423094283,79.23519861055806,79.23519861055806
11,OCO,Haas,78.33099485856447,79.69578625859438,79.69578625859438
12,LIN,Racing Bulls,78.33422563264924,80.05870655275473,80.05870655275473
13,COL,Alpine,78.91453234880005,80.48686688970938,80.48686688970938
14,LAW,Racing Bulls,78.74193408734031,80.51613360054495,80.51613360054495
15,SAI,Williams,79.13120254924269,80.84910750836156,80.84910750836156
16,BEA,Haas,79.69505215722371,81.19336895989461,81.19336895989461
17,PER,Cadillac,79.86117498233823,81.3123001842124,81.3123001842124
18,STR,Aston Martin,80.61203894290732,81.95397289097637,81.95397289097637
19,HUL,Audi,80.37042327312672,82.13133605241633,82.13133605241633
20,HAD,Red Bull,80.55498017140032,82.33303605251665,82.33303605251665
21,ALO,Aston Martin,79.79379690462562,82.71311684567505,82.71311684567505
22,BOT,Cadillac,82.3837338547184,84.28694473296353,84.28694473296353
