rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s
1,NOR,McLaren,72.37926434268168,72.37926434268168,75.19832067760414
2,ALB,Williams,73.03375227731658,73.12217920307538,75.2177873132446
3,BOR,Audi,72.93814811427556,73.23561131756094,75.3696675865562
4,ANT,Mercedes,78.87189521010595,79.40373953829564,80.18268584074877
5,LEC,Ferrari,78.81656285432416,79.56922727592936,80.18808188138186
6,RUS,Mercedes,79.11327520572092,79.57937462045653,80.20454282066294
7,PIA,McLaren,78.64385113575827,79.58388158406876,80.2057275050356
8,VER,Red Bull,79.88579864466836,79.88579864466836,80.25951233712334
9,HAM,Ferrari,79.61792201008535,80.12293586589318,80.36747085665758
10,GAS,Alpine,79.99198470778893,80.25873460471897,80.51722793109639
11,OCO,Haas,80.51169121906933,80.78670288817742,81.07320456688848
12,LIN,Racing Bulls,80.99676322305758,81.31842623915202,81.44993841058567
13,LAW,Racing Bulls,80.94210519883569,81.42224001708034,81.711252087182
14,COL,Alpine,81.28541604086452,81.67784873518252,81.92533951287805
15,SAI,Williams,81.69214006792886,81.9842834717517,82.20597746349458
16,PER,Cadillac,81.74572887185279,82.25094612662669,82.53623912551095
17,BEA,Haas,81.8120016167125,82.46751740121918,82.81831410707008
18,HUL,Audi,81.87222424640218,82.91912774648479,83.52534927512642
19,HAD,Red Bull,82.29058968560602,82.93382815915776,83.19677816711564
20,STR,Aston Martin,82.27492978980102,82.99962599225212,83.41716782549045
21,ALO,Aston Martin,80.17654605931828,84.03594550434633,84.60355353450029
22,BOT,Cadillac,84.09590799523238,85.09111719833824,85.4931241799498
